From Date,To Date,Panel,Article Count,Post Count,Network Type
2020-08-24T00:00:00Z,2020-08-31T00:00:00Z,Market Dominance,1027,1027,All Interactions
2020-08-31T00:00:00Z,2020-09-07T00:00:00Z,Market Dominance,667,667,All Interactions
2020-09-07T00:00:00Z,2020-09-14T00:00:00Z,Market Dominance,795,795,All Interactions
2020-09-14T00:00:00Z,2020-09-21T00:00:00Z,Market Dominance,912,912,All Interactions
2020-09-21T00:00:00Z,2020-09-28T00:00:00Z,Market Dominance,1066,1066,All Interactions
2020-09-28T00:00:00Z,2020-10-05T00:00:00Z,Market Dominance,815,815,All Interactions
2020-10-05T00:00:00Z,2020-10-12T00:00:00Z,Market Dominance,1995,1995,All Interactions
2020-10-12T00:00:00Z,2020-10-19T00:00:00Z,Market Dominance,1112,1112,All Interactions
2020-10-19T00:00:00Z,2020-10-25T23:00:00Z,Market Dominance,5201,5201,All Interactions
2020-10-26T00:00:00Z,2020-11-02T00:00:00Z,Market Dominance,1398,1398,All Interactions
2020-11-02T00:00:00Z,2020-11-09T00:00:00Z,Market Dominance,757,757,All Interactions
2020-11-09T00:00:00Z,2020-11-16T00:00:00Z,Market Dominance,2132,2132,All Interactions
2020-11-16T00:00:00Z,2020-11-23T00:00:00Z,Market Dominance,1036,1036,All Interactions
2020-11-23T00:00:00Z,2020-11-30T00:00:00Z,Market Dominance,821,821,All Interactions
2020-11-30T00:00:00Z,2020-12-07T00:00:00Z,Market Dominance,789,789,All Interactions
2020-12-07T00:00:00Z,2020-12-14T00:00:00Z,Market Dominance,3610,3610,All Interactions
2020-12-14T00:00:00Z,2020-12-21T00:00:00Z,Market Dominance,2721,2721,All Interactions
2020-12-21T00:00:00Z,2020-12-28T00:00:00Z,Market Dominance,1189,1189,All Interactions
2020-12-28T00:00:00Z,2021-01-04T00:00:00Z,Market Dominance,331,331,All Interactions
2021-01-04T00:00:00Z,2021-01-11T00:00:00Z,Market Dominance,697,697,All Interactions
2020-08-24T00:00:00Z,2020-08-31T00:00:00Z,Political Interference,1865,1865,All Interactions
2020-08-31T00:00:00Z,2020-09-07T00:00:00Z,Political Interference,2399,2399,All Interactions
2020-09-07T00:00:00Z,2020-09-14T00:00:00Z,Political Interference,1734,1734,All Interactions
2020-09-14T00:00:00Z,2020-09-21T00:00:00Z,Political Interference,1790,1790,All Interactions
2020-09-21T00:00:00Z,2020-09-28T00:00:00Z,Political Interference,1846,1846,All Interactions
2020-09-28T00:00:00Z,2020-10-05T00:00:00Z,Political Interference,3634,3634,All Interactions
2020-10-05T00:00:00Z,2020-10-12T00:00:00Z,Political Interference,2716,2716,All Interactions
2020-10-12T00:00:00Z,2020-10-19T00:00:00Z,Political Interference,3528,3528,All Interactions
2020-10-19T00:00:00Z,2020-10-25T23:00:00Z,Political Interference,3705,3705,All Interactions
2020-10-26T00:00:00Z,2020-11-02T00:00:00Z,Political Interference,3523,3523,All Interactions
2020-11-02T00:00:00Z,2020-11-09T00:00:00Z,Political Interference,10106,10106,All Interactions
2020-11-09T00:00:00Z,2020-11-16T00:00:00Z,Political Interference,10821,10821,All Interactions
2020-11-16T00:00:00Z,2020-11-23T00:00:00Z,Political Interference,6947,6947,All Interactions
2020-11-23T00:00:00Z,2020-11-30T00:00:00Z,Political Interference,4224,4224,All Interactions
2020-11-30T00:00:00Z,2020-12-07T00:00:00Z,Political Interference,9457,9457,All Interactions
2020-12-07T00:00:00Z,2020-12-14T00:00:00Z,Political Interference,4401,4401,All Interactions
2020-12-14T00:00:00Z,2020-12-21T00:00:00Z,Political Interference,5384,5384,All Interactions
2020-12-21T00:00:00Z,2020-12-28T00:00:00Z,Political Interference,2835,2835,All Interactions
2020-12-28T00:00:00Z,2021-01-04T00:00:00Z,Political Interference,2212,2212,All Interactions
2021-01-04T00:00:00Z,2021-01-11T00:00:00Z,Political Interference,5292,5292,All Interactions
2020-08-24T00:00:00Z,2020-08-31T00:00:00Z,Consorship,258,258,All Interactions
2020-08-31T00:00:00Z,2020-09-07T00:00:00Z,Consorship,354,354,All Interactions
2020-09-07T00:00:00Z,2020-09-14T00:00:00Z,Consorship,130,130,All Interactions
2020-09-14T00:00:00Z,2020-09-21T00:00:00Z,Consorship,206,206,All Interactions
2020-09-21T00:00:00Z,2020-09-28T00:00:00Z,Consorship,203,203,All Interactions
2020-09-28T00:00:00Z,2020-10-05T00:00:00Z,Consorship,185,185,All Interactions
